id	timestamp	code_sha256	parameters	basis	precision	quotient	rigorous_status	wall_seconds	peak_memory_kb	notes
C10-D4-IMPORTANCE-V67-RECOVERY-PREEXECUTION-AUDIT	2026-09-03T03:10:00+02:00	f5c925aca55ec14bd129b58ea27085ffdf03b10521fbbbddbb339497229b2f8d	k=48;C10;v66gateSHAfa101960;v67sourceSHA118b56e6;templateSHAccaffa3c;128 frozen records	records-only reconstruction of exact-whitened D4 calibration analysis	static plus hostile runtime replay;normal/-O;no chains/full recovery output	NA	SCOPED AUDIT PASS PRE-EXECUTION;authorization template remains false;no quotient/root inspected	not reported	lightweight	Hostile tests SHAf07bbfe7 6/6 normal/-O; audit JSON SHAf79a327b; report SHA5b98b3c4. Verifies all128 checkpoint hashes/inodes, exact held-dirfd reopening, sole NumPy-bool repair path, external self/source closure, no-chain execution, and fail-closed output races. Explicit root authorization and a post-output audit remain mandatory.
WIDE-C722-ACTIVE25-D18-DIRICHLET-CONTROL-PROBE-FAIL	2026-09-03T02:38:00+02:00	da3838d98547507fbfa055073be2fe4de250cea3f5e090062328e1ea6c95b7d2	k=48;D18;active25;2x20 smoke plus six 2x500 shape trials;physical shapes .5,.7,1,1.3;slack shapes .15,.2,.3	fixed D18 inner plus natural-dilation outer amplitude	longdouble Dirichlet importance sampling with exact uncapped matrix as nominal control variate	NA	HEURISTIC CALIBRATION FAIL;all quotient signs discarded;never a certificate	0.15 smoke;2.3--4.1 per grid run	lightweight	Smoke artifact SHA1c9d1689. Exact calibration targets are A11=1.192e-159,B00=6.681e-159,B01=4.299e-160,B11=7.337e-161; observed calibration means missed key entries by factors from several to thousands and some grid estimates had extreme between-batch variance. Do not use the apparent q>1 values.
BV-AQUARTER-D18-CACHEFREE-PARTICULAR-CHECK	2026-09-03T02:40:00+02:00	96495079a18039a0a7b0522e83ac455cbe5ff144598fff6b382f2c2953958de9	k=48;alpha=103/400;eta=97/400;delta=7/250;D18dim471;inputSHAaf6f1eb0	refined D18 rational particular vector	Fraction exact direct square/marginal orbit reconstruction;no matrix or cache;normal/-O byte-identical	0.98535084085017721	exact negative particular vector;subsumed by independent D18 2x2 audit PASS	15.3	lightweight	Artifact SHA44b7e97c; 10761 exact F-square and marginal-square orbit groups; normal/-O outputs byte-identical. Independent D18 checker SHA206f3106 separately reconstructs the source coordinate while auditing the uncapped pencil; this remains not a capped quotient.
BV-AQUARTER-D18-INNER-RADIAL-EXACT	2026-09-03T02:40:30+02:00	67b7a77555f8022d2445d51537d05d3592af34c252353f63132fd44a14d93da8	k=48;R=103/400;V=97/400;delta=7/250;D18dim471;inputSHAaf6f1eb0	refined D18 vector with two exact amplitudes across sum<=V and V<sum<R	Fraction exact orbit contraction;Decimal180 eigen-discovery;61-digit rational amplitude exact contraction	0.98535566634082061	exact negative particular vector;stronger fixed inner seed;independent audit pending	1.5	lightweight	Artifact SHAd0e40966; exact gain 4.82549064337e-6 over D18 baseline; radial outer amplitude was rationalized to 61 significant digits.
WIDE-C722-D18-PIECEWISE-UNCAPPED-DEFINITION5	2026-09-03T00:54:53+02:00	f3bbc9c6c35e2cb8b1ac7ce6accf56144c01099be81dfe288407b4552165b7bb	k=48;alpha1=103/400;eta1=97/400;alpha2=3211/12000;eta2=3031/12000;cin=1;cout=3090/3211	fixed refined BV D18 inner plus independently scaled natural-dilation D18 on uncapped outer shell	Fraction exact 2x2 reconstruction;70-digit rational stationary amplitude	1.0094665456455079732521139175830199	UNCAPPED SEARCH RELAXATION AUDIT PASS;outer simplex analytically unapproved;not a theorem	NA	NA	Producer SHA49ecca1b; independent checker/result/report SHAs206f3106/6d9bbb47/5aa175ff; normal/-O byte-identical. Exact rational positive margin, factor48 and Definition-5 cutoff assignment independently reconstructed. This only authorizes capped D18 search.
WIDE-C722-NONUNIFORM-ACTIVE25-TAIL-ANALYTIC-AUDIT	2026-09-03T02:40:00+02:00	c96b1d1c052a1fe598ac9547b46af3575bc56afb8e6050be7d9384a6861b42f7	k=48;delta=361/50000;epsilon=3/400;A=(-3/400,1/4,3121/12000);clean nonuniform tail through B26=363/2000	weighted-prime-minorant wide two-band support;active outer counts0..25	independent exact Fraction reconstruction;normal/-O byte-identical	NA	ANALYTIC AUDIT PASS ONLY;no quotient	21.99 root normal+optimized replay	lightweight	Artifact SHA111a48a2; report SHA0c89e776. Fixed mixed least139967/45000000000; outer least59999869/600000000000; near least199999/2500000000; dynamic least549979/120000000000; first empty26. A 25-parameter radius1/1000000 strict box passes. Pointwise dominates flat .16645 support.
WIDE-C722-CLEAN-RISING-TAIL-ANALYTIC-DISCOVERY	2026-09-03T02:29:00+02:00	3886783d4b002b6cedf9076c0bf3619ed033ad4c6f7d85ebe9baf4ef29ab7be3	k=48;first9=(597/5000,633/5000,669/5000,141/1000,737/5000,773/5000,1553/10000,809/5000,81/500);B10=3329/20000;clean-B11..25=(.1690,.1695,.1718,.1737,.1752,.1762,.1764,.1774,.1782,.1790,.1796,.1801,.1806,.1811,.1815);B26+=.1815	weighted-prime-minorant wide two-band support;active outer counts0..25	exact Fraction discovery using frozen analytic engine;all 172800 dynamic cells	NA	EXACT DISCOVERY PASS ONLY;independent analytic audit pending;no quotient	5.82 final-clean check plus 15.91 grid frontier	lightweight	Fixed mixed worst139967/45000000000; outer worst59999869/600000000000; near worst199999/2500000000; dynamic worst549979/120000000000. Exact constant shell volume is 1.3222099457551302 times audited .16605 support. Not yet theorem-usable.
WIDE-C722-CLEAN-RISING-TAIL-SHELL-CONSTANTS-PROBE	2026-09-03T02:34:00+02:00	f916e2d69318431f77be0172160540610c10c35d8fd2292134015d0b175957c2	k=48;clean-rising-tail;active-R=0..25;dim26-shell-only	constant on each exact outer-shell count stratum	Fraction exact I and HH/HL/LL J matrices;Decimal100 Jacobi discovery	0.0683869935611308148771492498229761944281795519022342698	EXACT MATRIX FORMS BUT UNAUDITED DISCOVERY SOLVE;support audit pending;no inner-D16 cross;not a certificate	12.84	lightweight	9360 domains per HH/HL/LL table. Improves old shell-only heuristic .062274 but remains far below one; does not bound polynomial shell functions.
WIDE-C722-NONUNIFORM-PLATEAU16605-ANALYTIC-AUDIT	2026-09-03T02:10:00+02:00	1c041d15fbd18ec4e049bd32690e135310f98d93d653f67892244f47fc3ce607	k=48;delta=361/50000;epsilon=3/400;A=(-3/400,1/4,3121/12000);outerBm=(597/5000,633/5000,669/5000,141/1000,737/5000,773/5000,1553/10000,809/5000,81/500,then3321/20000)	weighted-prime-minorant wide two-band support;active outer counts0..22	independent exact Fraction reconstruction;normal/-O byte-identical	NA	ANALYTIC AUDIT PASS ONLY;no quotient	17.29	lightweight	Artifact SHA700f7931; report SHAdc17388c. Mixed/transpose least slack724973/37500000000; dynamic IIc least174999/5000000000; mixed IIc empty exactly; first-empty margin1/100000; c1=c2=0. Ten-parameter radius1/200000 strict-interior box certified. Pointwise dominates all three predecessor schedules.
WIDE-C722-START104-PLATEAU166-ANALYTIC-AUDIT	2026-09-03T01:58:00+02:00	faa23bd7370c9c4d1cc00aa3e21577884a2553bca68258f918fca992cf4d111a	k=48;delta=361/50000;epsilon=3/400;A=(-3/400,1/4,3121/12000);outerBm=min(13/125+(m-1)delta,83/500)	weighted-prime-minorant wide two-band support;active outer counts0..22	independent exact Fraction reconstruction;normal/-O byte-identical	NA	ANALYTIC AUDIT PASS ONLY;no quotient	14.38	lightweight	Artifact SHA148852f6; report SHA9947bc4b. Mixed/transpose least slack999997/7500000000; dynamic IIc least3549979/120000000000; mixed IIc empty exactly; c1=c2=0. Strict rational start/plateau box certified. Pointwise dominates every preceding wide schedule.
WIDE-C722-D16-PIECEWISE-UNCAPPED-DEFINITION5	2026-09-03T01:58:00+02:00	f3bbc9c6c35e2cb8b1ac7ce6accf56144c01099be81dfe288407b4552165b7bb	k=48;alpha1=103/400;eta1=97/400;alpha2=3211/12000;eta2=3031/12000;cin=1;cout=3090/3211	fixed inner BV D16 plus independently scaled natural-dilation D16 on the uncapped outer shell	Fraction exact independent 2x2 reconstruction;70-digit rational amplitude	1.00510111767528007059574062514480033287442324136230203560690	EXACT POSITIVE SEARCH RELAXATION;outer full simplex is analytically unapproved;not a theorem	NA	NA	Artifact SHAe30a9a5f; independent checker SHAa9210778 and audit JSON SHA00e273d0 PASS. Exact margin over I=.00510111767528; this authorizes capped-basis search but cannot imply H1<=236.
LOCAL-PAIR-MCMC-CROSS-WITHDRAWAL	2026-09-03T01:58:00+02:00	05735a7cd0d9e2122d41ae6cc95e55f626a60cb891ad8492d7d45f64bc9a76ae	k=48;wide capped shell;fixed/count/binary/smooth local pair chains	all realized local-chain quotient signs	independent exact-rational plus deterministic Decimal80 scale calibration	NA	AUDIT FAIL;ALL LOCAL PAIR-MCMC SIGNS WITHDRAWN	NA	lightweight	Artifact SHAf48d5e30; report SHAaab0bdfc. Count sampler overstates independently reconstructed R15 capped mass by factor711.1200131; reported positive1.032431 and all negative signs are unusable. Formula identities remain search-instrument-only.
BV-AQUARTER-B18-REFINED-CACHE-EXACT	2026-09-03T00:52:00+02:00	1e1e9aece98190b06684be1c206583de72969218b4ec5a5dfaf374fb7d26d387	k=48;alpha=beta=103/400;eta=97/400;delta=7/250;matrixSHA=d642da26	graded-even B18;471 rational coefficients	Decimal180 640 iterations then common 60-significant-digit grid;Fraction exact contraction	0.98535084085017721...	EXACT PARTICULAR FORM FROM SOURCE-HASHED CACHE;negative margin;cache-free checker pending	975.22	282060	Artifact SHAaf6f1eb0; 111156/111156 cache hits and zero misses. Trace stabilizes to .98535084085017724155; exact rational q display .98535084085017721. This is not an eigenvalue certificate and remains below one.
WIDE-C722-D16-R15-I-PUBLICATION-FAIL	2026-09-03T01:20:00+02:00	0c221f5b9040a6a0b361dd25e24069763713542f306c354a10af26835619a356	k=48;wide-volume-ramp;totalR=15;Decimal80	piecewise outer-dilated BV D16 shell	fused high/low I traversal	NA	FAIL CLOSED;all faces computed but stale BASE_PATH name raised before publication;no artifact	NA	~272000	No value accepted. Repaired target SHA cb84d4eb adds protected-input/O_EXCL publication regression; clean rerun follows.
WIDE-C722-D16-R15-I-DECIMAL80	2026-09-03T01:35:00+02:00	cb84d4eb6d24c7be2315b8195b8e0c1a6a9bc52e68e4e5f6a656ea41252e667c	k=48;wide-volume-ramp;totalR=15;cin=1;cout=3090/3211	piecewise outer-dilated BV D16 restricted to shell count15	Decimal80 fused high-minus-low	NA	DISCOVERY CALIBRATION ONLY;complete I stage;no J/quotient/certificate	683.314	271784	Artifact SHA4f493d64; shell I=1.867590058647541159966652284027770402944112322891498259579150487028098552988698E-156;23 high/21 low faces. Superseded schedule for future search.
WIDE-C722-D16-R15-J-FILTER-COST	2026-09-03T01:41:00+02:00	5086a4a381d301ae3a5b321f5e5afba685b677d6851694ef555f6ec76d7fdc58	k=48;wide-volume-ramp;targetR=15;commonR=14;h=10	inner-original/outer-dilated cross and shell tags	Decimal80 specialized outer-branch filter	NA	COST PROBE ONLY;incomplete common-count stage;no quotient	244.030	301308	Artifact SHAaafdc239; branches Ltotal/Lbig only; domains fh6/fl4/hh2/hl3/ll2. Representative 41-face linear projection2.78h, not a conservative bound; full run forbidden.
WIDE-C722-D16-R15-ASSEMBLER-AUDIT-FAIL	2026-09-03T01:42:00+02:00	290dc32bf233083ffa52162a4176e0618d6a1fb932d009ca73740d349fe3a363	k=48;R15;provisional2x2assembler	inner plus shell-count15	static hostile forged-stage/publication-race fixtures	NA	AUDIT FAIL;must not consume stage artifacts	NA	lightweight	Report SHA38738aec; JSON0804655c; verifier159d1e4c; mutation testcafcf414. Caller-chosen SHA plus spoofed metadata accepted arbitrary forms; exists/write_bytes publication raced. Specialized evaluator itself passed branch-reduction audit.
WIDE-C722-PIECEWISE-D16-R11-I-COST-INVALIDATED	2026-09-03T01:02:00+02:00	82841a2527f228f7f68c1df707c88872737ad6af99c85b5ed4618e9bd5961c64	k=48;outer-c=3090/3211;volume-ramp;R=11	outer dilated BV D16;561 grouped I polynomials	Decimal80;interrupted after high27/27 and low18/25 faces	NA	INVALIDATED RUNTIME PROBE;source was repaired during run so end hash could not pass;no output	NA	~300000	Stopped deliberately before a rejected artifact could be emitted. Observed about10--30 seconds per face. Superseded by frozen source cad3e32b and artifact d2846dac.
WIDE-C722-PIECEWISE-D16-R11-I-COST	2026-09-03T01:28:48+02:00	cad3e32b77717419061a46d9863e5a99785cf34f71fc5e992f684c3b1741f7f5	k=48;inner-c=1;outer-c=3090/3211;volume-ramp;total-R=11	outer dilated BV D16 scheduled-high minus scheduled-low;561 grouped I polynomials	Decimal80 grouped recurrence;27 high and25 low faces	NA	NONRIGOROUS COMPLETE R11 I STAGE;independent prelaunch formula audit PASS;no quotient/J/sign claim	1575.8894349159673	298284	Artifact SHAd2846dac; shell I_R11=2.4251652465131906777843520784276778497413951855011486179617686085018311457241e-155, only .0001317241564382349 of the uncapped total outer denominator and .0008575032213776488 of scheduled-high R11. Audit report SHA5db0a39a. Constant-volume ranking is falsified for polynomial mass; no omission of other counts is licensed.
WIDE-C722-D16-DILATED-UNCAPPED-DEFINITION5-PENCIL	2026-09-03T00:31:00+02:00	85c4847c4803015d9aa14f67d257be62a4d23edbff5843f191e903ce885d4804	k=48;alpha1=103/400;eta1=97/400;alpha2=3211/12000;eta2=3031/12000;c=3090/3211	inner dilated D16 plus rational-amplitude uncapped outer-shell restriction	Fraction exact 2x2 Definition-5 pencil	0.99987975146175168...	EXACT PARTICULAR FORM;outer full simplex analytically unapproved;negative margin;not theorem-ready	105.53	78676	Artifact SHA9a75380b. Unit amplitude q=.99986151078506524; stationary outer amplitude1.02632091355. Correctly subtracts inner-inner eta1<U<=eta2 tail from the one-band q1.02078; exact shortfall about1.2024854e-4. Audited capped volume-ramp contraction is decisive.
WIDE-C722-D16-DILATED-UNCAPPED-EXACT	2026-09-03T00:19:00+02:00	3219047bd9d339e15946947f68bd6484d23af722337ba70771c488e3e1238794	k=48;c=3090/3211;target-alpha=3211/12000;target-eta=3031/12000;delta=7/250	dilated certified BV D16 polynomial F1(t)=F0(c*t);307 exact coefficients	Fraction exact orbit reconstruction	1.0207823750831113...	EXACT UNCAPPED PARTICULAR FORM;analytic support not approved;not a capped bound or theorem certificate	21.49	46688	Artifact SHA27a893e9. Exact matching-cutoff identities I1=c^-48 I0 and 48J1=c^-49(48J0) pass and give q=1.0197035633110845. This positive reservoir authorizes exact contraction on the audited wide cap.
WIDE-C722-D16-UNCAPPED-FIXED-VECTOR-EXACT	2026-09-03T00:08:00+02:00	53d544a7467556f324966bf571b88ed1ab3e8a95970e5f8a722ad91447cad1e1	k=48;baseline-alpha=103/400;baseline-eta=97/400;proxy-alpha=3211/12000;proxy-eta=3031/12000;delta=7/250	certified BV D16 rational polynomial evaluated unchanged on full simplexes	Fraction exact orbit reconstruction	0.016393007405152926...	EXACT PARTICULAR FORM;analytically unapproved uncapped proxy;not an upper bound or theorem certificate	8.71	40484	Artifact SHA12481080; certificate SHA59715ddf. Baseline is reproduced exactly at q=.9812781098197606203. The transfer collapse reflects the fixed original L=1-sum(t) polynomial and forbids naive coefficient transfer as a wide-support ranking; reoptimization remains open.
TS-0	2026-09-01T00:00:00+02:00	b9acfab1bce12ecdee61782e0a4936f4f80447df081eb523666259f1706a8d59	k=48;alpha=521/2000;eta=491/2000;delta=7/250;B1=B2=3/20;B3+=17/100	(s/alpha)^0	Fraction exact	0.23403715846142173	exact reconstructed	12.3	36000	Constant function baseline; exact inclusion-exclusion/polygon integration.
TS-2	2026-09-01T00:00:00+02:00	b9acfab1bce12ecdee61782e0a4936f4f80447df081eb523666259f1706a8d59	k=48;alpha=521/2000;eta=491/2000;delta=7/250;B1=B2=3/20;B3+=17/100	(s/alpha)^0..2	Fraction exact after float discovery	0.77756211960429522	exact rational vector; negative target margin	97.0	36000	Not a target certificate.
TS-5	2026-09-01T00:00:00+02:00	b9acfab1bce12ecdee61782e0a4936f4f80447df081eb523666259f1706a8d59	k=48;alpha=521/2000;eta=491/2000;delta=7/250;B1=B2=3/20;B3+=17/100	(s/alpha)^0..5	Fraction exact after float discovery	0.81882486035804769	exact rational vector; negative target margin	550.8	35992	Heuristic generalized value 0.81904984918960111; total-sum family appears saturated near 0.819.
MC-0	2026-09-01T00:00:00+02:00	aaa0577d9996a988f1098fd46715fa1604e89a065a509718bbc355c8d73a3916	k=48;published support;samples=1000000;seed=236	F=1	double Monte Carlo	0.233982046953	statistical cross-check only	15.3	unknown	Exact quotient 0.234037158461; J discrepancy -0.399 standard errors.
ORB-3-P	2026-09-01T00:00:00+02:00	3fb5324d2f48011283f1b9a3eefa2c5690f38e0b2b28bcc59ce21c6f69a9d786	k=48;published support	Polymath even-orbit B_3;dim=6	Fraction exact; high-precision discovery	0.8283001277650814	exact rational vector; negative target margin	10	38000	Matrix SHA f13f1d700bb763434a0067db701ece875dc2f03be86b540157e31fb60e23ab3e.
ORB-3-E	2026-09-01T00:00:00+02:00	3fb5324d2f48011283f1b9a3eefa2c5690f38e0b2b28bcc59ce21c6f69a9d786	k=48;B3+=889/5000;other published	Polymath even-orbit B_3;dim=6	Fraction exact; high-precision discovery	0.8283001277669679	exact rational vector; negative target margin	10	38000	Matrix SHA 0cf803a78073c9028ef622e36406a051595485bb07626050adcf0eee145b0d01; support gain 1.89e-12.
ORB-4-E	2026-09-01T00:00:00+02:00	3fb5324d2f48011283f1b9a3eefa2c5690f38e0b2b28bcc59ce21c6f69a9d786	k=48;B3+=889/5000;other published	Polymath even-orbit B_4;dim=10	Fraction exact; high-precision discovery	0.8690771925702910	exact rational vector; negative target margin	140	42000	High-precision optimum 0.86907721286354214578; matrix SHA 514f20078bc415a7bacc0830111dda2716804e836e413f93c9593b96913f770a.
ORB-6-E-L1	2026-09-01T12:00:00+02:00	95877b624be5852b4809f812d10b610d29d41259c9382d6cc7db99a77df6cc3c	k=48;alpha=521/2000;eta=491/2000;delta=7/250;B1=B2=3/20;B3+=889/5000	even-orbit degree<=6;signature length<=1;dim=16	Fraction exact after decimal discovery	0.8933002803104199	exact rational vector; negative target margin	679.7	unknown	Matrix SHA d0722e6c2fde00d0a578ef241dec08e19728026a9bc93ab3d87f8cd10b900d23.
ORB-4-E-NO1	2026-09-01T13:00:00+02:00	230a6acc9b986dae03a854953458a7a38a8bd5ba64a3dab63b5b5273f4b9b5eb	k=48;alpha=521/2000;eta=491/2000;delta=7/250;B1=B2=3/20;B3+=889/5000	all orbit signatures without parts 1;degree<=4;dim=12	Fraction exact after decimal discovery	0.8711999305485281	exact rational vector; negative target margin	102.5	unknown	Matrix SHA b8affe8259473cb26f07dc1c788403ebbc74896a70ce99435103fa000e3807c3; demonstrates odd signatures add value.
BV-NO1-D8	2026-09-01T14:00:00+02:00	230a6acc9b986dae03a854953458a7a38a8bd5ba64a3dab63b5b5273f4b9b5eb	k=48;A=1/4;support_epsilon=3/400;alpha=103/400;eta=97/400;delta=7/250;B_all=103/400	all orbit signatures without parts 1;degree<=8;dim=67	Fraction exact after decimal discovery	0.9366148430706379	exact rational vector; negative target margin	7.2	unknown	Full-simplex shortcut; matrix SHA aa2e813cacad75ad4bbfffcc10edb6b3062a9faa8c0232e0fb8545a65095f954.
BV-EVEN-D12	2026-09-01T14:20:00+02:00	95877b624be5852b4809f812d10b610d29d41259c9382d6cc7db99a77df6cc3c	k=48;A=1/4;support_epsilon=3/400;alpha=103/400;eta=97/400;delta=7/250;B_all=103/400	even-orbit degree<=12;dim=120	Fraction exact after decimal discovery	0.9662589904055093	exact rational vector; negative target margin	0.3	unknown	Full-simplex shortcut; matrix SHA 9d88a543eee334aee21d7c0bbe67eeb2bb150b5c881f039df62b7be0c5116c16.
BV-EVEN-D14	2026-09-01T14:40:00+02:00	95877b624be5852b4809f812d10b610d29d41259c9382d6cc7db99a77df6cc3c	k=48;A=1/4;support_epsilon=3/400;alpha=103/400;eta=97/400;delta=7/250;B_all=103/400	even-orbit degree<=14;dim=195	Fraction exact after decimal discovery	0.9752059238904460	exact rational vector; negative target margin	347.6	unknown	Current strongest analytically justified exact quotient; matrix SHA ec6d141cc89f98b64d1a77eb0f70df9b1144ca0539191dfdaacfa827fc542cb5.
BV-EVEN-D12-E0065	2026-09-01T15:00:00+02:00	230a6acc9b986dae03a854953458a7a38a8bd5ba64a3dab63b5b5273f4b9b5eb	k=48;A=1/4;support_epsilon=13/2000;alpha=513/2000;eta=487/2000;delta=7/250;B_all=513/2000	even-orbit degree<=12;dim=120	Fraction exact after decimal discovery	0.9664853277774192	exact rational vector; negative target margin	102.4	unknown	Best sampled D12 epsilon; matrix SHA ac66c611b1bb7c4aa6d351291e9c6906c74ee05d4645c7b3ab0fc95c158b65c2.
HB-REF-NO1-D10	2026-09-01T15:20:00+02:00	230a6acc9b986dae03a854953458a7a38a8bd5ba64a3dab63b5b5273f4b9b5eb	k=48;A=1279/5000;support_epsilon=1/200;alpha=163/625;eta=627/2500;delta=1/50;B_all=163/625	all orbit signatures without parts 1;degree<=10;dim=139	Fraction exact after decimal discovery	0.9782058509085813	exact rational vector for reference support; analytically infeasible B_all	86.5	unknown	Full-simplex reference only, not a sieve certificate; matrix SHA 8e2fafd2e7b499b8f3d80aee05e61e90019fd68eed26871f222beec8754adf8f.
HB-C20-NO1-D4	2026-09-01T19:19:00+02:00	9a9eb37036e19862b5da694bca3bc1c34dc7e54c11cfa1fbc94286f6898f193c	k=48;A=1279/5000;support_epsilon=1/200;alpha=163/625;eta=627/2500;delta=1/50;B1=B2=3/20;B3+=17/100	all orbit signatures without parts 1;degree<=4;dim=12	Fraction exact after decimal discovery	0.8872735200643458	exact rational vector; negative target margin	309.2	unknown	Conservative pre-frontier C20; matrix SHA 88813500de02bde7941c09f5978700ec00cb047dc4bc9a2e82a72495fd3c0958.
HB-C16-NO1-D4	2026-09-01T20:00:00+02:00	941ee82bc72fd8488a95eb5e536fe47f8c95d39a1b618dae7d6ef7eb27122e52	k=48;A=77147/300000;support_epsilon=1/200;alpha=78647/300000;eta=75647/300000;delta=2/125;B1=3/20;B2=769/5000;B3+=849/5000	all orbit signatures without parts 1;degree<=4;dim=12	Fraction exact after decimal discovery	0.8920052899993396	exact rational vector; negative target margin	854.7	60700	Matrix SHA 3ff2aa2df271abd6230b9836f1d474380c85724d055b3d3f8d98fbd26e52f055; frontier support exact checker passes.
HB-C10-NO1-D4-MP	2026-09-01T20:10:00+02:00	16882457752acfc240e79dfcccebefa2aa86d04ab2c946ccebd881d0a3f95beb	k=48;A=77747/300000;support_epsilon=1/200;alpha=79247/300000;eta=76247/300000;delta=1/100;B1=B2=3/20;B3+=97/625	all orbit signatures without parts 1;degree<=4;dim=12	Decimal 55-digit recurrence	0.8963676783427826	heuristic high precision; independently calibrated recurrence	541.2	unknown	Not exact; Decimal recurrence matched exact C20 D4 through 18 decimal places. Frontier and rational-box support checkers pass.
HB-C10-REF-NO1-D4	2026-09-01T20:20:00+02:00	941ee82bc72fd8488a95eb5e536fe47f8c95d39a1b618dae7d6ef7eb27122e52	k=48;A=77747/300000;support_epsilon=1/200;alpha=79247/300000;eta=76247/300000;delta=1/100;B_all=79247/300000	all orbit signatures without parts 1;degree<=4;dim=12	Fraction exact using exact decimal vector	0.8989796949934230	exact rational vector for reference support; analytically infeasible B_all	0.03	unknown	Full-simplex reference; matrix SHA 75db4ee6af2c1e25db3c8176b0a4ef3720854ce5403d7aa81a6feb201b005939.
HB-C10-REF-NO1-D10	2026-09-01T20:25:00+02:00	941ee82bc72fd8488a95eb5e536fe47f8c95d39a1b618dae7d6ef7eb27122e52	k=48;A=77747/300000;support_epsilon=1/200;alpha=79247/300000;eta=76247/300000;delta=1/100;B_all=79247/300000	all orbit signatures without parts 1;degree<=10;dim=139	Fraction exact using 180-digit decimal vector	0.9910122128503976	exact rational vector for reference support; analytically infeasible B_all	168.0	unknown	Full-simplex reference only; matrix SHA 177ea56b94c637b76e911a8036f2a0da97c2d09f1ede6a136488cddde943249c.
HB-C10-STRAT-D0	2026-09-01T20:35:00+02:00	0566f77860b0b61ce0ed342b5bb3a4743990725099d8b0cd6e685efad3c7394f	k=48;C10 exact capped support	indicator of each R=0..15;dim=16	Fraction exact after decimal discovery	0.5819278719725501	exact rational vector; negative target margin	2.1	unknown	Block-diagonal I/block-tridiagonal J; matrix SHA 1821aba7049b3335cd27eb6c007e86306fbaf33cfed42d74c046cc81f4281ce3.
HB-C10-STRAT-D1	2026-09-01T20:36:00+02:00	0566f77860b0b61ce0ed342b5bb3a4743990725099d8b0cd6e685efad3c7394f	k=48;C10 exact capped support	R-tagged no-ones degree<=1;dim=32	Fraction exact after decimal discovery	0.7802448183893927	exact rational vector; negative target margin	7.2	unknown	Matrix SHA 4bc4d2ae69cc1bddeba61d88788349e3052ff93a7b18d2b8d633d1f6f1983ffe.
HB-C10-STRAT-D2	2026-09-01T20:38:00+02:00	0566f77860b0b61ce0ed342b5bb3a4743990725099d8b0cd6e685efad3c7394f	k=48;C10 exact capped support	R-tagged no-ones degree<=2;dim=64	Fraction exact after decimal discovery	0.8359976037732323	exact rational vector; negative target margin	77.9	unknown	Matrix SHA 362399142f9dd09233088fe73a51aff4d0b69c9fa444c02fb29746354cc3e907.
HB-C10-STRAT-D3	2026-09-01T20:45:00+02:00	0566f77860b0b61ce0ed342b5bb3a4743990725099d8b0cd6e685efad3c7394f	k=48;C10 exact capped support	R-tagged no-ones degree<=3;dim=112	Fraction exact after decimal discovery	0.8780605777582272	exact rational vector; negative target margin	364.2	unknown	Matrix SHA 2a033078eb5592e8646242fc9bb480f883c12cc03e35933f2bb61853242f0df8; standalone tag route remains below global D4.
HB-C16-HYBRID-D4-TAG1	2026-09-01T20:42:00+02:00	ccf5fb20af8728b99e819e84443231fc9e8aa37ca3ad226d0ec19c861128c0e3	k=48;C16 exact capped support	global no-ones D4 plus R=1..10 tagged labels 1 and (1-S);dim=32	Fraction exact after decimal discovery	0.8923588192669285	exact rational vector; negative target margin	unknown	unknown	Gain over global D4 is only .0003535292675889; matrix SHA 42778771157fca5161dd067e2f2c63c7fcf5d1080d08e06395b5c34f844552f3.
HB-C10-REF-NO1-D12	2026-09-01T21:00:00+02:00	941ee82bc72fd8488a95eb5e536fe47f8c95d39a1b618dae7d6ef7eb27122e52	k=48;A=77747/300000;support_epsilon=1/200;alpha=79247/300000;eta=76247/300000;delta=1/100;B_all=79247/300000	all orbit signatures without parts 1;degree<=12;dim=272	Fraction exact using 210-digit decimal vector	1.0030189929241073	exact positive quadratic margin for analytically infeasible reference support	1203.0	unknown	Not a sieve certificate; matrix SHA b882098bd6889ff251195b45153a2204e4df1c4ef843a2ae85dcc1b2fd3e041d; JSON SHA 719c656e6e45388273b4c27f51f7a18b33e9ed1abb5f883e6fcc5de5d6d64a87.
HB-C10-D12-ORBIT-ABORT	2026-09-01T20:25:00+02:00	eaffee350fa8cddc8d3b2765f2f6961c52e2f2207a4845ee7de2bfb4cd546a9a	k=48;A=77747/300000;support_epsilon=1/200;alpha=79247/300000;eta=76247/300000;delta=1/100;B1=B2=3/20;B3+=97/625	fixed full-simplex D12 rational vector;272 expanded labels;1575 I orbit groups	Fraction exact partial	NA	incomplete; aborted runtime falsification	390	unknown	Stopped cleanly at 20/1575 I orbit groups; no checkpoint or quotient. Per-orbit whole-support integration was falsified as the wrong granularity; not rerun under another name.
